Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/DailyObjects-Lush-Midnight-Trapeze-Crossbody/dp/B082HZVTRG/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-46,N/A,"₹1,099",4.0,"1,258"
https://www.amazon.in/Genie-compartments-Lightweight-Travelling-Purpose-36/dp/B097JHSJTL/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-47,N/A,₹899,5.0,1
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C6N3MYL2/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-48,N/A,₹649,3.6,164
https://www.amazon.in/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-49,N/A,₹479,4.1,"16,599"
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-50,N/A,₹599,3.8,903
https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-51,N/A,₹699,4.4,51
https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFS4G1/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1690380358&sprefix=ba%2Caps%2C283&sr=8-52,N/A,"₹1,599",4.4,"2,185"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjc2NDQxMzY2ODI2ODM4OjE2OTAzODAzNTg6c3BfYnRmOjMwMDAyMTQyNjQ4NTIzMjo6MDo6&url=%2FBetterShine-Printed-Capacity-Waterproof-Compartment%2Fdp%2FB0CC2X1ZJR%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380358%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA28K09EI2KGVEK,N/A,₹699,N/A,M.R.P:
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjc2NDQxMzY2ODI2ODM4OjE2OTAzODAzNTg6c3BfYnRmOjIwMTYyNTQzNzA3MDk4OjowOjo&url=%2FWALKENT-Stylish-Spruce-Waterprrof-Resistant%2Fdp%2FB0BJ982TQN%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380358%26sprefix%3Dba%252Caps%252C283%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,N/A,"₹3,190",4.5,19
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTcyODg1MjA2OTkzNDgxOjE2OTAzODAzNjA6c3BfYXRmX25leHQ6MzAwMDA2Nzg5Njc3NDMyOjowOjo&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380360%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,N/A,"₹1,990",N/A,M.R.P:
